Most significant genomic positions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,Diff,,,,Apv,,,,Pk,,,,,,,LeftGene,Distance,Start,End,Strand,Product,RightGene,Distance,Start,End,Strand,Product,AffyLogC Left,,,,,,,AffyLogC Right,,,,,,
5970350,0.0386875241,0.1037416715,0.0405399799,0.093719021,0.0035231811,1.06E-15,3.27E-272,3.44E-44,5.07E-102,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_5498,84,5970434,5971321,1,"Transcriptional regulator, GntR family",-,-,-,-,-,-,-,-0.0526902889,-1.3860961758,-3.4345843693,-4.737272128,-4.8784175325,-4.3325721565,-3.0731186855
8216200,0.0610539359,0.0564684295,0.0304736509,0.1513877492,0.0004112153,2.52E-44,2.24E-78,1.87E-23,2.80E-271,1,1,1,1,1,0,SVEN_7440,-64,8211951,8216264,-1,hypothetical protein,SVEN_7442,537,8216737,8217525,1,hypothetical protein,0.2293160781,0.2016380366,-0.1677231489,-0.1387629534,-0.053275176,0.0614893838,0.0445318906,0.6193870091,0.3138392,-0.5848375022,-0.3659973577,-0.1299538109,-0.1091080683,0.3503718873
6781775,0.025482781,0.1028263733,0.0139601627,0.0650601294,-0.0049150277,0.0001018966,2.24E-267,0.0579842905,1.94E-47,1,0,1,0,1,0,SVEN_6224,104,6781480,6781671,-1,hypothetical protein,SVEN_6225,274,6782049,6782399,1,"regulatory protein, ArsR",-0.0848340096,-0.1672975586,0.0220242043,-0.1298550969,-0.0442101883,-0.2004703326,0.1842547913,0.1439477223,0.154945664,-0.1447584064,-0.0473545115,0.0368449439,-0.0417867431,-0.2258175594
6275525,0.058146537,0.0990220458,0.0391277195,0.1353205475,-1.25E-06,6.89E-40,9.86E-248,6.24E-41,3.87E-216,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_5779,32,6275557,6276042,1,hypothetical protein,-,-,-,-,-,-,-,0.0734016119,0.0919173522,-0.1202337538,0.5744344719,0.8482696245,1.1758845632,0.8882470487
5111575,0.1335093578,0.0603071618,0.0600083698,0.1274235669,0.0003004903,3.24E-224,7.32E-90,8.47E-101,2.68E-191,1,1,1,1,1,0,SVEN_4749,79,5109391,5111496,-1,Fibrillarin,SVEN_4750,137,5111712,5112710,1,putative membrane protein,0.13728945,-0.0640481807,0.0556116218,0.1268077447,-0.5118406714,-0.5950167159,-0.3124266686,0.2958529146,-0.3420068535,0.1132734321,0.0878931152,0.1422594957,0.110506501,0.218583761
502275,0.0272146411,0.0941821473,0.0157776882,0.0689272772,-0.0035706539,6.56E-06,8.24E-224,0.0014253971,1.16E-53,1,1,1,0,1,0,-,-,-,-,-,-,SVEN_0462,150,502425,503843,1,ATP-dependent RNA helicase,-,-,-,-,-,-,-,0.2703664443,0.1805028887,0.3490305482,-0.0807608992,-0.0154414725,0.0215237282,0.2254738917
4776750,0.0558131876,0.0730302576,0.0176795661,0.1333849846,-0.0012343974,1.75E-36,2.65E-133,1.87E-05,6.52E-210,1,1,1,1,1,0,SVEN_4436,68,4775450,4776682,-1,SAM-dependent methyltransferases,SVEN_4437,18,4776768,4777688,1,putative polysaccharide deacetylase,-0.1870099859,-0.0016918594,0.045476218,-0.0917180208,0.0110226895,0.0066275138,-0.0542483382,-0.0818332747,0.0782832349,-0.0318090684,-0.4717398242,-2.1864211751,-0.4887093782,0.0502704585
3648850,0.0654329134,0.059846697,0.0261251897,0.1246302996,-0.0001674222,2.06E-51,1.91E-88,2.73E-16,7.22E-183,1,1,1,1,1,0,SVEN_3331,67,3647476,3648783,-1,putative secreted protein,SVEN_3332,246,3649096,3651468,1,Carbonic anhydrase,0.1825105706,0.0837514948,-0.6398884507,-1.0657064059,-2.0627645201,-0.7508633216,0.0281522753,-0.1759742458,-0.5527349839,0.2045000823,-1.2313490506,-1.0463201197,0.1185549881,0.8523818162
7962850,0.052365507,0.0436546217,0.0239736434,0.1218469305,-0.0009481248,1.06E-31,1.77E-45,3.81E-13,1.18E-174,1,1,1,1,1,0,SVEN_7237,80,7962198,7962770,-1,"Transcriptional regulator, TetR family",SVEN_7238,52,7962902,7964503,1,Alkyldihydroxyacetonephosphate synthase,0.2958413781,0.050643159,0.1261073744,-0.0040518682,0.1115680524,0.1915062355,0.0304717673,0.2216183721,-0.0197505346,-0.0179672721,-0.0742078953,-0.0586995117,0.0116845749,-0.0104168061
107775,0.0275718751,0.0814274424,0.0169780328,0.0691995263,-0.0005744871,3.64E-06,1.69E-166,9.76E-05,4.11E-54,1,1,1,1,1,0,SVEN_0106,15,104989,107760,-1,cvnA6,-,-,-,-,-,-,-0.13365344,0.8946446302,0.4070338912,0.0797631265,-0.0401258971,0.0612634186,0.1244821285,-,-,-,-,-,-,-
4056750,0.1127738861,0.0334669547,0.0313189666,0.0924924561,-0.0008883052,4.16E-159,2.76E-25,5.67E-25,2.77E-99,1,1,1,1,1,0,SVEN_3734,425,4055036,4056325,-1,Seryl-tRNA synthetase (serS),-,-,-,-,-,-,-0.0030445609,0.5478001362,0.1585058834,-0.4928298426,0.0660495642,-0.1637846458,-0.0508853515,-,-,-,-,-,-,-
5232875,0.0604885005,0.0203920582,0.0242290534,0.1107317708,-0.0178816731,1.91E-43,4.41E-07,1.66E-13,1.08E-143,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_4858,5,5232880,5234856,1,tetratricopeptide repeat family protein,-,-,-,-,-,-,-,0.4278070185,0.2483735261,0.6043705119,0.3298670382,-0.1113460816,0.2536739938,0.4577553311
4798225,0.0858102871,0.0460016542,0.0224306074,0.1104905655,-0.0020430084,8.64E-91,7.05E-51,4.72E-11,4.69E-143,1,1,1,1,1,0,SVEN_4457,88,4796896,4798137,-1,putative UDP-glucose or GDP-mannose dehydrogenase,SVEN_4458,175,4798400,4800106,1,Glycerol-3-phosphate dehydrogenase,-0.2896806221,-0.4196785811,-0.0512717193,-0.2043961755,-0.8078290566,-0.3334466806,0.2503086843,0.0352798726,-1.0679056901,-0.2494793429,0.9974712993,-0.1686498059,-0.7658447902,-0.7836396669
8015225,0.1059136728,0.00847561,0.015915829,0.0705937294,-0.0013319727,5.67E-140,0.9999998111,0.0010569095,1.88E-56,1,1,0,0,1,0,-,-,-,-,-,-,SVEN_7286,60,8015285,8016631,1,putative secreted protein,-,-,-,-,-,-,-,0.0490687219,-0.0191844427,0.0635741785,-0.3236850038,-0.2496270447,0.0302137857,-0.1663002649
1446675,0.0359731451,0.0741960292,0.0243042132,0.0859043876,0.0022389198,4.38E-13,1.07E-137,1.30E-13,3.39E-85,1,1,1,1,1,0,SVEN_1283,46,1444908,1446629,-1,Fumarate or succinate or L-aspartate dehydrogenases,SVEN_1284,-5,1446670,1447323,1,"regulatory protein, TetR",-0.0486584229,-0.1556693443,0.0513077956,-0.4191215452,0.0948967784,0.1106828184,0.0258648611,-0.1632936987,0.3409576133,0.3478482947,0.0993604063,0.1315887063,0.1221612665,0.1476035542
8216150,0.0438378948,0.0472463169,0.0219788614,0.1078654244,0.0018880967,3.60E-21,7.43E-54,1.83E-10,3.45E-136,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_7442,587,8216737,8217525,1,hypothetical protein,-,-,-,-,-,-,-,0.6193870091,0.3138392,-0.5848375022,-0.3659973577,-0.1299538109,-0.1091080683,0.3503718873
2685875,0.0726830157,0.0317947787,0.0261572507,0.1056260099,-0.0035566813,3.25E-64,1.79E-22,2.44E-16,1.84E-130,1,1,1,1,1,0,SVEN_2469,152,2684254,2685723,-1,hypothetical protein,-,-,-,-,-,-,-0.7873804522,0.428068722,0.9635086611,-0.5931485354,1.3057344096,1.1241771309,2.022408469,-,-,-,-,-,-,-
4842075,0.0406959733,0.0710064554,0.0145022909,0.0782212951,-0.0046091023,9.40E-18,7.69E-126,0.0200741221,4.50E-70,1,1,1,0,1,0,SVEN_4487,58,4840665,4842017,-1,hypothetical protein,SVEN_4488,71,4842146,4843741,1,integral membrane protein,0.1313904907,-0.1066240917,-0.2546138106,-0.1204861759,-0.6559895702,-0.6520120181,-0.2389355153,0.1920872741,-0.1052687079,-0.1717589539,-0.2969090499,-0.2367436471,-0.1770757019,0.0594037029
945550,0.0394833528,0.0351396366,0.0095586798,0.0994818063,-0.0006683789,1.68E-16,3.07E-28,1,2.31E-115,1,1,1,0,1,0,-,-,-,-,-,-,SVEN_0819,1277,946827,947474,1,"Transcriptional regulator, TetR family",-,-,-,-,-,-,-,0.0557461025,-0.0340019366,0.0353438282,-0.0205427,-0.0139346707,-0.034822158,0.1117310827
3813825,0.0478679341,0.0674210042,0.015588095,0.0845195878,-0.0060619697,6.42E-26,3.92E-113,0.0021402495,2.29E-82,1,1,1,0,1,0,-,-,-,-,-,-,SVEN_3504,212,3814037,3814240,1,cold shock protein,-,-,-,-,-,-,-,0.4510719304,0.0884959295,-0.4331824549,-0.515593494,-0.4211565138,-0.3975268719,-0.0706233359
1629350,0.067239108,0.0475384862,0.0209374429,0.0983606002,-0.0051488005,1.78E-54,1.45E-54,3.73E-09,1.05E-112,1,1,1,1,1,0,SVEN_1452,11,1622851,1629339,-1,hypothetical protein,SVEN_1453,186,1629536,1631059,1,"TldD family protein, Actinobacterial subgroup",-,-,-,-,-,-,-,-,-,-,-,-,-,-
4792100,0.0627039483,0.0670452331,0.0369581947,0.0810341039,0.0016284883,6.14E-47,7.71E-112,3.80E-36,1.91E-75,1,1,1,1,1,0,SVEN_4452,124,4791584,4791976,-1,Sporulation regulatory protein WhiD,SVEN_4453,309,4792409,4793020,1,"DNA-binding response regulator, BldM",0.0764380878,-0.3926699083,-0.2659438062,0.7508860369,-1.187703223,-0.6197510864,-0.1271234709,-0.0456782282,-0.2769664151,-0.8736483463,-0.0868394185,0.2499469963,0.5082808767,1.2185897735
1935550,0.0256299725,0.0438856931,0.0112445258,0.0970603272,-0.0053970029,8.12E-05,5.36E-46,1,1.16E-109,1,1,1,0,1,0,SVEN_1734,115,1934812,1935435,-1,hypothetical protein,-,-,-,-,-,-,-0.3398381342,-0.8249487556,-0.6192732084,0.0142729208,-0.3424805563,0.0723124849,0.5613423216,-,-,-,-,-,-,-
7988200,0.0932625585,0.0430511763,0.0205319539,0.0844005879,-0.000577619,7.98E-108,3.91E-44,1.16E-08,4.00E-82,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_7260,64,7988264,7988809,1,hypothetical protein,-,-,-,-,-,-,-,-0.0666806411,-0.0167966693,0.1550536064,0.2193336107,0.3614434677,0.2160890246,0.063109995
1904750,-0.0024329629,-0.0045929853,0.0135411053,0.0954870671,-0.0022638271,0.9999517222,0.9999998111,0.1282823911,4.96E-106,1,0,0,0,1,0,SVEN_1708,75,1903323,1904675,-1,Histidinol dehydrogenase HisD,SVEN_1709,129,1904879,1906492,1,putative membrane-associated oxidoreductase,0.323402278,0.5829345767,-0.824562843,-0.1712398034,-0.0655540764,0.0204214123,-0.0717619661,-0.0552348183,0.0675842985,0.4837624258,-0.13315913,-0.5965901447,-0.4634809301,-0.4633607535
4157200,0.0912294121,0.0020316688,0.015741044,0.0263686226,-0.0366199563,4.89E-103,0.9999998111,0.0015424321,9.74E-05,1,1,0,0,1,0,SVEN_t42,35,4157090,4157165,-1,tRNA-Gly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6889275,0.0151144304,0.0113596293,0.0026648976,0.0938131091,-0.0004279451,0.9999517222,0.9999998111,1,3.11E-102,1,0,0,0,1,0,SVEN_6312,104,6887597,6889171,-1,probable exported protease,-,-,-,-,-,-,0.1818629525,0.1474411963,-0.0531977963,-0.6411451269,-1.6028557686,-0.0580973734,-0.0822195715,-,-,-,-,-,-,-
2589100,0.0216748742,0.0629484524,0.0092733535,0.0746645468,-0.0008314265,0.0232107491,3.35E-98,1,1.50E-63,1,0,1,0,1,0,SVEN_2389,128,2587953,2588972,-1,Rod shape-determining protein MreB,-,-,-,-,-,-,-0.7860389024,0.3399924753,0.0928890948,-0.7195085155,-0.688066271,-0.1761936847,0.0706649481,-,-,-,-,-,-,-
4171275,0.0345983608,0.0476273197,0.0189700147,0.0917883262,-0.0021111792,7.86E-12,8.78E-55,7.54E-07,9.94E-98,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_3846,110,4171385,4171591,1,putative DNA-binding protein BldC,-,-,-,-,-,-,-,-0.2900085951,-0.5549150106,0.1992491282,0.2481370603,0.2159553277,0.5830523437,0.7133366324
2265650,0.0298432932,0.0598854601,0.0162516579,0.0897736409,-0.0012972547,7.33E-08,1.46E-88,0.0005055615,2.41E-93,1,1,1,0,1,0,SVEN_2052,58,2264786,2265592,-1,hypothetical protein,-,-,-,-,-,-,-0.2729070678,0.4918865926,0.6570120059,0.150438576,0.1672657656,0.0829907621,0.1648147538,-,-,-,-,-,-,-
5007350,-0.001749481,0.0604002368,0.0027064194,0.0169104964,3.93E-05,0.9999517222,3.77E-90,1,0.9999999907,1,0,1,0,0,0,-,-,-,-,-,-,SVEN_4651,262,5007612,5007887,1,putative small membrane protein ChpG,-,-,-,-,-,-,-,-0.1172375572,-0.301631746,-2.5410923362,-0.5182683098,0.367082442,1.0100897611,1.6632951035
2070300,0.0297337575,0.0584903019,0.0152306444,0.0734620529,-0.0055595497,8.91E-08,2.48E-84,0.0045478155,2.06E-61,1,1,1,0,1,0,SVEN_1857,-92,2070282,2070392,-1,hypothetical protein,-,-,-,-,-,-,0.1097500552,0.1698460922,-0.0203597824,0.1025040202,0.1540718303,0.1072828786,0.0536492933,-,-,-,-,-,-,-
3957150,0.0085010242,0.0577934697,0.0037204332,0.0381791487,-0.0031940644,0.9999517222,2.95E-82,1,5.16E-14,1,0,1,0,1,0,SVEN_3644,111,3956653,3957039,-1,hypothetical protein,-,-,-,-,-,-,-0.095618126,-0.1400866422,-0.7274279496,-1.455818927,-1.2585540586,-0.5195612207,0.3088114018,-,-,-,-,-,-,-
2070275,0.0316141431,0.0566852832,0.0145654854,0.0729272992,-0.005774077,2.84E-09,5.26E-79,0.017695606,1.80E-60,1,1,1,0,1,0,SVEN_1856,106,2068631,2070169,-1,putative regulator,-,-,-,-,-,-,0.162484777,-0.8437825762,-1.0740003051,0.7973137853,0.4566868922,0.6924623953,0.6994436532,-,-,-,-,-,-,-
3884875,0.034090586,0.0128971325,0.0020977694,0.0817410213,0.001802633,2.22E-11,0.9999998111,1,7.95E-77,1,1,0,0,1,0,SVEN_3572,157,3882925,3884718,-1,hypothetical protein,SVEN_3573,-61,3884814,3885965,1,hypothetical protein,-0.3166435101,0.9181118703,0.3720005304,-0.1433887454,0.5863814568,0.0671797145,0.0799580447,-0.0047200094,0.0260769571,-0.0894809626,0.0108833416,0.1224933426,0.0529691442,-0.1131021916
5705225,0.0419114549,0.0183083974,0.0244602,0.080449656,-0.0070523734,4.79E-19,5.62E-05,7.81E-14,2.58E-74,1,1,1,1,1,0,SVEN_5277,248,5704327,5704977,-1,hypothetical protein,SVEN_5278,160,5705385,5706878,1,putative regulatory protein NsdA,0.0204904949,-1.9618413894,-0.2392617962,0.0381756331,-0.3390189439,-0.2826033128,-0.0435132481,0.1575265175,-1.0669245861,-0.9071720309,0.5337348597,0.0859880619,0.2783048031,1.0479195228
6518625,0.0053622549,0.0545389254,0.0048179389,0.0306885879,-3.91E-05,0.9999517222,6.90E-73,1,9.47E-08,1,0,1,0,1,0,-,-,-,-,-,-,SVEN_5990,1096,6519721,6520509,1,4-phosphopantetheinyl transferase,-,-,-,-,-,-,-,-0.0362613567,-2.7598601403,-0.0984263887,0.008511986,0.019485775,-0.1083947208,-0.1032169825
4117225,0.0615752101,0.0072979699,0.0079710258,0.0788156398,-0.0024728181,3.83E-45,0.9999998111,1,3.42E-71,1,1,0,0,1,0,SVEN_3793,27,4116569,4117198,-1,hypothetical protein,-,-,-,-,-,-,0.076882287,0.3796513785,0.5700851092,-0.1422876624,-0.9805059124,-0.5935596819,0.2411198529,-,-,-,-,-,-,-
4607650,0.0760729059,0.0001754382,0.017645722,0.0287682773,-0.0237258132,1.17E-70,0.9999998111,2.02E-05,2.34E-06,1,1,0,1,1,0,SVEN_4256,78,4607369,4607572,-1,Cold shock protein CspD,SVEN_4257,184,4607834,4608706,1,Menaquinone via futalosine step 1,0.0751052119,0.1584466425,0.2846771671,-0.6655052863,-0.1328829243,0.0055292031,0.349727474,-0.0466626844,0.7205473351,-0.0125666838,-0.0479513212,0.1263404899,0.1025144164,0.0013623984
2397475,0.033701367,0.0533492514,0.0187500132,0.0707631893,-0.0021192043,4.87E-11,1.34E-69,1.32E-06,9.70E-57,1,1,1,1,1,0,-,-,-,-,-,-,SVEN_2229,27,2397502,2399058,1,two-component system sensor kinase,-,-,-,-,-,-,-,-0.114993077,-0.2722121136,0.107443983,0.433066303,-1.1243340837,-1.2109146478,-0.7115216626
1638500,0.0722226567,0.0023429479,0.0169551091,0.0773360634,-0.0028285978,2.31E-63,0.9999998111,0.0001028845,2.02E-68,1,1,0,0,1,0,SVEN_1461,165,1637961,1638335,-1,putative integral membrane protein,SVEN_1462,109,1638609,1640147,1,"secreted subtilisin protease, ssp",-0.1730777598,-0.3203800835,-0.2037424338,-0.0461911331,-0.0915590245,0.1493283123,0.3371179919,-0.5243516841,-0.393268118,-0.1828992469,-0.1811786202,0.8510189936,1.2289951742,0.8557344031
6323575,0.0742957503,0.0030024691,0.0126837424,0.0201494422,-0.0344360732,3.04E-67,0.9999998111,0.6070165722,0.3631641575,1,1,0,0,0,0,SVEN_5811,53,6323076,6323522,-1,hypothetical protein,SVEN_5812,116,6323691,6326423,1,aconitate hydratase,-0.0733083079,-0.1218865796,0.5185073237,-0.2748882975,-1.4817173072,-1.266697564,-0.8502442468,-0.663562405,1.4213655116,0.6474369814,-1.5563824669,0.4109686953,-0.4597102759,-0.1638036641
7474275,0.0231372423,0.0522344231,0.0178413121,0.0757388237,-0.002194259,0.0031830945,1.40E-66,1.26E-05,1.73E-65,1,0,1,1,1,0,SVEN_6825,241,7473372,7474034,-1,putative secreted protein,SVEN_6826,163,7474438,7474923,1,putative integral membrane protein,0.1201471732,0.257690121,0.1262994575,0.2456039034,-0.0288145464,-0.0030758801,-0.2408883657,0.0447553944,0.0407789021,-0.2382233478,-0.0594062531,-1.8917883092,-1.0049145644,0.521263476
2731250,0.0268605084,0.0103099226,0.0197493205,0.0759881566,-0.0009096641,1.17E-05,0.9999998111,9.77E-08,6.09E-66,1,1,0,1,1,0,SVEN_2517,163,2730206,2731087,-1,putative SARP family pathway specific regulatory protein,-,-,-,-,-,-,-0.5905404524,0.3648796021,0.6632626912,0.2529249354,0.0252659181,0.5569396237,0.7517857088,-,-,-,-,-,-,-
2307575,0.0733781886,0.0132345998,0.0139761118,0.0543387989,-0.0117998812,1.64E-65,0.9335323707,0.0562337333,4.76E-32,1,1,0,0,1,0,-,-,-,-,-,-,SVEN_2128,63,2307638,2307895,1,hypothetical protein,-,-,-,-,-,-,-,0.0274816427,0.1085727121,0.0064112434,-0.0413551183,-0.1244533631,0.2299356926,0.1828820711
5508725,0.0257221975,0.0509987606,0.0098265335,0.0712273877,-0.002343397,7.05E-05,2.61E-63,1,1.57E-57,1,1,1,0,1,0,SVEN_5106,4696,5503373,5504029,-1,"DNA-binding response regulator, AbsA2",SVEN_5108,1891,5510616,5511404,1,hypothetical protein,0.1276084068,0.4906722253,-0.4301236724,0.7856934321,0.2927474333,0.0965110242,0.0356373543,-,-,-,-,-,-,-
5219425,0.0156715289,0.0491836153,0.014437266,0.0409227527,0.0002649651,0.9999517222,1.20E-58,0.0228434943,1.22E-16,1,0,1,0,1,0,SVEN_4846,139,5218147,5219286,-1,UBA or THIF-type NAD or FAD binding protein,SVEN_4847,104,5219529,5220104,1,Zinc metalloprotease,0.1017870991,0.1322863274,0.0615948992,0.202428476,0.1658479654,0.2059826999,-0.0990006318,-0.0941762337,-0.0398155772,-0.335691274,-0.065179422,-0.2275888193,-0.0694224545,0.1929909437
4220075,0.0162898279,0.0228886576,-0.0006319192,0.0716960209,-0.0015286943,0.9999517222,6.85E-10,1,2.46E-58,1,0,1,0,1,0,-,-,-,-,-,-,SVEN_r17,67,4220142,4223266,1,23S ribosomal RNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7158125,0.0134721431,0.0489639291,0.0106876343,0.031970176,-0.0002554442,0.9999517222,4.29E-58,1,9.96E-09,1,0,1,0,1,0,SVEN_6548,9,7157739,7158116,-1,hypothetical protein,-,-,-,-,-,-,0.5735095802,0.5252506267,0.1191828953,0.3324243954,0.1659968256,-0.0565880789,-0.1178628428,-,-,-,-,-,-,-
3757850,0.068963071,0.0078738266,0.0156511177,0.0444332915,-0.0205721767,1.77E-57,0.9999998111,0.0018707055,2.93E-20,1,1,0,0,1,0,SVEN_3440,133,3757544,3757717,-1,hypothetical protein,SVEN_t32,30,3757880,3757950,1,tRNA-Gly,-0.3208391132,-0.3800247366,-0.1329640024,-0.9600587884,-0.7771194872,-0.2575608637,-0.3115892395,-,-,-,-,-,-,-
6449350,0.0676491602,0.0014580587,0.0109763745,0.0224023705,-0.0317078961,3.49E-55,0.9999998111,1,0.0234461594,1,1,0,0,0,0,SVEN_5921,242,6447816,6449108,-1,hypothetical protein,-,-,-,-,-,-,0.0503031765,-0.142900842,-0.0299802642,0.1606777293,0.3872354718,0.0749524931,0.1973607645,-,-,-,-,-,-,-
