DB 0 MOTIF	1	MEME
 -15.5	0	10
 -14.5	1	4
 -13.5	0	15
 -12.5	0	12
 -11.5	0	7.5
 -10.5	1	12
  -9.5	0	8
  -8.5	1	12
  -7.5	0	12
  -6.5	1	11
  -5.5	1	14
  -4.5	0	8
  -3.5	1	15.5
  -2.5	1	14
  -1.5	1	8
  -0.5	1	11
   0.5	1	13
   1.5	1	5
   2.5	0	12
   3.5	0	9
   4.5	1	6.5
   5.5	2	9
   6.5	2	10
   7.5	1	8
   8.5	1	7
   9.5	1	6
  10.5	0	9
  11.5	3	14
  12.5	2	13
  13.5	0	14
  14.5	0	13
  15.5	0	10
  16.5	0	9
  17.5	1	8
  18.5	0	8
  19.5	0	7
  20.5	2	7
  21.5	0	11
  22.5	0	9
  23.5	0	6
  24.5	0	7
  25.5	0	15
  26.5	1	8
  27.5	0	6
  28.5	0	10
  29.5	0	11
  30.5	0	12
  31.5	1	4
  32.5	0	4
  33.5	0	11
  34.5	0	15
  35.5	0	13
  36.5	0	9
  37.5	0	7
  38.5	0	9
  39.5	1	15
  40.5	0	8
  41.5	0	7
  42.5	0	10
  43.5	0	10
  44.5	0	6
  45.5	0	8
  46.5	0	8
  47.5	0	11
  48.5	0	7
  49.5	0	11
  50.5	0	17
  51.5	0	11
  52.5	0	6
  53.5	0	8
  54.5	0	10
  55.5	0	5
  56.5	0	12
  57.5	0	8
  58.5	0	11
  59.5	0	7
  60.5	0	11
  61.5	0	5
  62.5	1	13.5
  63.5	0	7
  64.5	1	11
  65.5	0	11
  66.5	0	11
  67.5	0	8
  68.5	0	10
  69.5	0	8
  70.5	0	10.5
  71.5	0	10
  72.5	0	9
  73.5	0	8
  74.5	0	7
  75.5	0	9
  76.5	0	8
  77.5	0	7
  78.5	0	10
  79.5	0	11
  80.5	0	11
  81.5	0	8
  82.5	0	11
  83.5	0	13
  84.5	0	10
  85.5	0	14
  86.5	0	13
  87.5	0	7
  88.5	0	8
  89.5	0	15
  90.5	0	12
  91.5	0	9
  92.5	0	14
  93.5	0	12
  94.5	0	13
  95.5	0	9
  96.5	0	11
  97.5	0	12
  98.5	0	10
  99.5	0	11
 100.5	0	9
 101.5	0	7
 102.5	0	10
 103.5	0	9
 104.5	0	12
 105.5	0	5
 106.5	0	5
 107.5	0	13
 108.5	0	8.5
 109.5	0	16
 110.5	0	6
 111.5	0	12
 112.5	0	17
 113.5	0	9
 114.5	0	9
 115.5	0	11
 116.5	0	10
 117.5	0	10.5
 118.5	0	10
 119.5	0	12
 120.5	0	13
 121.5	0	7
 122.5	0	7
 123.5	0	8
 124.5	0	11
 125.5	0	9.5
 126.5	0	10
 127.5	0	17.5
 128.5	0	13
 129.5	0	5
 130.5	0	5
 131.5	0	15
 132.5	0	8
 133.5	0	9
 134.5	0	9
 135.5	0	11
 136.5	0	10
 137.5	0	8
 138.5	0	11
 139.5	0	11
 140.5	0	9
 141.5	0	6
 142.5	0	11
 143.5	0	11
 144.5	0	12
 145.5	0	12
 146.5	0	13
 147.5	0	7
 148.5	0	7
 149.5	0	10
 150.5	0	10
 151.5	0	4
 152.5	0	11
 153.5	0	6
 154.5	0	8.5
 155.5	0	6
 156.5	0	14
 157.5	0	10
 158.5	0	11
 159.5	0	8
 160.5	0	6
 161.5	0	12
 162.5	0	6
 163.5	0	6
 164.5	0	14
 165.5	0	11
 166.5	0	5
 167.5	0	14
 168.5	0	9
 169.5	0	13
 170.5	0	13
 171.5	0	6
 172.5	0	4
 173.5	0	9
 174.5	0	13
 175.5	0	12
 176.5	0	17
 177.5	0	10
 178.5	0	5
 179.5	0	9
 180.5	0	10
 181.5	0	11
 182.5	0	10
 183.5	0	10
 184.5	0	9
 185.5	0	8
 186.5	0	5
 187.5	0	13
 188.5	0	9
 189.5	0	9
 190.5	0	9
 191.5	0	16
 192.5	0	6
 193.5	0	12
 194.5	0	10
 195.5	0	12
 196.5	0	14
 197.5	0	11
 198.5	0	7
 199.5	0	12
 200.5	0	7
 201.5	0	10
 202.5	0	11
 203.5	0	12
 204.5	0	11
 205.5	0	9
 206.5	0	6
 207.5	0	9
 208.5	0	14
 209.5	0	7
 210.5	0	6.5
 211.5	0	8
 212.5	0	11
 213.5	0	6
 214.5	0	6
 215.5	0	12
 216.5	0	13
 217.5	0	5
 218.5	0	8
 219.5	0	9
 220.5	0	8
 221.5	0	11
 222.5	0	8
 223.5	0	7
 224.5	0	13
 225.5	0	14
 226.5	0	17
 227.5	0	10
 228.5	0	12
 229.5	0	9
 230.5	0	10
 231.5	0	9
 232.5	0	9
 233.5	0	13
 234.5	0	7
 235.5	0	9
 236.5	0	12
 237.5	0	7
 238.5	0	9
 239.5	0	7
 240.5	0	15
 241.5	0	9
 242.5	0	13
DB 0 MOTIF	2	MEME
-239.5	0	1
-238.5	0	1
-237.5	0	1
-236.5	0	1
-235.5	0	2
-234.5	0	1
-233.5	0	1
-232.5	0	3
-231.5	0	2
-230.5	0	3
-229.5	0	0
-228.5	0	1
-227.5	0	3
-226.5	0	3
-225.5	0	2
-224.5	0	3
-223.5	0	4
-222.5	0	2
-221.5	0	1
-220.5	0	2
-219.5	0	3
-218.5	0	1
-217.5	0	4
-216.5	0	3
-215.5	0	1
-214.5	0	0
-213.5	0	1
-212.5	0	2
-211.5	0	1
-210.5	0	3
-209.5	0	0
-208.5	0	0
-207.5	0	2
-206.5	0	1
-205.5	0	0
-204.5	0	2
-203.5	0	2
-202.5	0	0
-201.5	0	3
-200.5	0	2
-199.5	0	0
-198.5	0	1
-197.5	0	2
-196.5	0	0
-195.5	0	0
-194.5	0	3
-193.5	0	2
-192.5	0	1
-191.5	0	3
-190.5	0	0
-189.5	0	1
-188.5	0	2
-187.5	0	1
-186.5	0	2
-185.5	0	4
-184.5	0	0
-183.5	0	3
-182.5	0	2
-181.5	0	0
-180.5	0	1
-179.5	0	4
-178.5	1	1
-177.5	0	2
-176.5	0	1
-175.5	0	4
-174.5	0	3
-173.5	0	1
-172.5	0	1
-171.5	0	1
-170.5	0	6
-169.5	0	0
-168.5	0	0
-167.5	0	1
-166.5	0	0
-165.5	0	2
-164.5	0	3
-163.5	0	2
-162.5	0	1
-161.5	0	0
-160.5	0	0
-159.5	0	3
-158.5	0	3
-157.5	0	1
-156.5	0	0
-155.5	0	1
-154.5	0	2
-153.5	0	1
-152.5	0	2
-151.5	0	1
-150.5	0	0
-149.5	0	1
-148.5	0	0
-147.5	0	1
-146.5	0	1
-145.5	0	2
-144.5	0	2
-143.5	0	3
-142.5	0	2
-141.5	0	0
-140.5	0	2
-139.5	0	0
-138.5	0	1
-137.5	0	2
-136.5	0	2
-135.5	0	1
-134.5	0	0
-133.5	0	3
-132.5	0	2
-131.5	0	1
-130.5	0	2
-129.5	0	2
-128.5	0	1
-127.5	0	2
-126.5	0	3
-125.5	0	0
-124.5	0	1
-123.5	0	0
-122.5	0	1
-121.5	0	1
-120.5	0	2
-119.5	0	1
-118.5	0	0
-117.5	0	1
-116.5	0	2
-115.5	0	2
-114.5	0	1
-113.5	0	0
-112.5	0	2
-111.5	0	1
-110.5	0	1
-109.5	0	1
-108.5	0	1
-107.5	1	2
-106.5	0	2
-105.5	0	0
-104.5	0	4
-103.5	0	2
-102.5	0	0
-101.5	0	3
-100.5	0	3
 -99.5	0	1
 -98.5	0	1
 -97.5	0	0
 -96.5	0	1
 -95.5	0	0
 -94.5	0	0
 -93.5	0	3
 -92.5	0	0
 -91.5	0	4
 -90.5	0	1
 -89.5	1	1
 -88.5	0	0
 -87.5	0	0
 -86.5	0	0
 -85.5	0	3
 -84.5	0	3
 -83.5	0	1
 -82.5	0	2
 -81.5	0	0
 -80.5	1	1
 -79.5	0	2
 -78.5	0	2
 -77.5	0	4
 -76.5	0	3
 -75.5	0	4
 -74.5	0	1
 -73.5	0	1
 -72.5	0	2
 -71.5	0	1
 -70.5	0	2
 -69.5	0	1
 -68.5	0	0
 -67.5	0	1
 -66.5	0	2
 -65.5	0	3
 -64.5	0	1
 -63.5	0	1
 -62.5	0	1
 -61.5	0	0
 -60.5	0	1
 -59.5	0	3
 -58.5	0	2
 -57.5	0	1
 -56.5	0	1
 -55.5	0	4
 -54.5	0	0
 -53.5	0	5
 -52.5	0	0
 -51.5	0	1
 -50.5	0	2
 -49.5	0	2
 -48.5	0	0
 -47.5	0	1
 -46.5	0	1
 -45.5	0	1
 -44.5	0	0
 -43.5	0	2
 -42.5	0	1
 -41.5	0	0
 -40.5	0	2
 -39.5	1	0
 -38.5	0	3
 -37.5	0	1
 -36.5	0	2
 -35.5	0	0
 -34.5	0	1
 -33.5	0	2
 -32.5	0	0
 -31.5	0	4
 -30.5	0	1
 -29.5	0	1
 -28.5	0	3
 -27.5	0	1
 -26.5	0	1
 -25.5	0	2
 -24.5	0	1
 -23.5	0	3
 -22.5	0	1
 -21.5	0	2
 -20.5	0	1
 -19.5	0	4
 -18.5	0	0
 -17.5	0	2
 -16.5	0	0
 -15.5	0	1
 -14.5	0	1
 -13.5	0	1
 -12.5	0	0
 -11.5	0	1
 -10.5	0	1
  -9.5	0	2
  -8.5	1	1
  -7.5	0	3
  -6.5	0	2
  -5.5	0	0
  -4.5	0	2
  -3.5	0	2
  -2.5	0	2
  -1.5	0	3
  -0.5	0	2
   0.5	0	1
   1.5	0	2
   2.5	0	2
   3.5	0	4
   4.5	0	1
   5.5	0	1
   6.5	1	0
   7.5	0	2
   8.5	0	2
   9.5	0	1
  10.5	1	1
  11.5	0	0
  12.5	0	2
  13.5	0	3
  14.5	0	1
  15.5	0	1
  16.5	0	6
  17.5	0	2
  18.5	0	1
  19.5	1	0
  20.5	0	1
  21.5	0	3
  22.5	0	0
  23.5	0	1
  24.5	0	2
  25.5	0	0
  26.5	1	3
  27.5	0	2
  28.5	0	1
  29.5	0	1
  30.5	0	0
  31.5	0	3
  32.5	2	1
  33.5	1	6
  34.5	1	0
  35.5	0	2
  36.5	0	2
  37.5	0	2
  38.5	0	1
  39.5	0	1
  40.5	0	3
  41.5	0	2
  42.5	0	2
  43.5	0	1
  44.5	0	1
  45.5	0	1
  46.5	0	1
  47.5	0	1
  48.5	0	1
  49.5	0	3
  50.5	0	3
  51.5	0	2
  52.5	0	2
  53.5	0	4
  54.5	0	2
  55.5	0	2
  56.5	0	2
  57.5	0	0
  58.5	0	0
  59.5	0	2
  60.5	0	1
  61.5	0	1
  62.5	0	2
  63.5	0	2
  64.5	0	0
  65.5	0	2
  66.5	0	3
  67.5	0	0
  68.5	0	2
  69.5	0	1
  70.5	0	4
  71.5	0	1
  72.5	0	1
  73.5	0	1
  74.5	0	0
  75.5	0	3
  76.5	0	0
  77.5	0	3
  78.5	0	1
  79.5	0	1
  80.5	0	1
  81.5	0	2
  82.5	0	1
  83.5	0	0
  84.5	0	2
  85.5	0	3
  86.5	0	3
  87.5	0	3
  88.5	0	1
  89.5	0	3
  90.5	0	2
  91.5	1	3
  92.5	0	2
  93.5	0	2
  94.5	0	3
  95.5	0	1
  96.5	0	1
  97.5	0	3
  98.5	0	2
  99.5	0	1
 100.5	0	0
 101.5	0	1
 102.5	0	2
 103.5	0	2
 104.5	0	1
 105.5	0	3
 106.5	0	0
 107.5	0	0
 108.5	0	0
 109.5	0	3
 110.5	0	1
 111.5	0	1
 112.5	0	2
 113.5	0	1
 114.5	0	0
 115.5	0	2
 116.5	0	3
 117.5	0	2
 118.5	0	1
 119.5	0	2
 120.5	0	6
 121.5	0	0
 122.5	0	2
 123.5	0	0
 124.5	0	2
 125.5	0	0
 126.5	0	1
 127.5	0	1
 128.5	0	1
 129.5	0	2
 130.5	0	1
 131.5	0	2
 132.5	0	0
 133.5	0	0
 134.5	0	1
 135.5	0	0
 136.5	0	2
 137.5	0	0
 138.5	0	1
 139.5	0	1
 140.5	0	2
 141.5	1	2
 142.5	0	2
 143.5	0	3
 144.5	0	0
 145.5	0	0
 146.5	0	0
 147.5	0	0
 148.5	0	2
 149.5	0	1
 150.5	0	1
 151.5	0	4
 152.5	0	0
 153.5	0	2
 154.5	0	1
 155.5	0	0
 156.5	0	4
 157.5	0	0
 158.5	0	1
 159.5	0	0
 160.5	0	3
 161.5	0	0
 162.5	0	1
 163.5	0	2
 164.5	0	1
 165.5	0	1
 166.5	0	1
 167.5	0	2
 168.5	0	0
 169.5	0	2
 170.5	0	2
 171.5	0	0
 172.5	0	0
 173.5	0	1
 174.5	0	0
 175.5	0	0
 176.5	0	0
 177.5	0	2
 178.5	0	1
 179.5	0	1
 180.5	0	1
 181.5	0	1
 182.5	0	5
 183.5	0	0
 184.5	0	3
 185.5	0	1
 186.5	0	2
 187.5	0	1
 188.5	0	2
 189.5	0	0
 190.5	0	0
 191.5	0	1
 192.5	0	0
 193.5	0	0
 194.5	0	1
 195.5	0	0
 196.5	0	0
 197.5	0	1
 198.5	0	2
 199.5	0	0
 200.5	0	1
 201.5	0	0
 202.5	0	0
 203.5	0	6
 204.5	0	5
 205.5	0	0
 206.5	0	1
 207.5	0	0
 208.5	0	3
 209.5	0	0
 210.5	0	0
 211.5	0	3
 212.5	0	1
 213.5	0	1
 214.5	0	1
 215.5	0	2
 216.5	0	1
 217.5	0	0
 218.5	0	3
 219.5	0	3
 220.5	0	0
 221.5	0	1
 222.5	0	3
 223.5	0	0
 224.5	0	0
 225.5	0	3
 226.5	0	2
 227.5	0	2
 228.5	0	0
 229.5	0	3
 230.5	0	1
 231.5	0	0
 232.5	0	2
 233.5	0	2
 234.5	0	1
 235.5	0	4
 236.5	0	3
 237.5	0	3
 238.5	0	2
 239.5	0	0
DB 1 MOTIF	AWWA	DREME
-248.0	0	3.5
-247.0	0	4
-246.0	0	1.75
-245.0	0	5.33333
-244.0	1	8.83333
-243.0	0	5.33333
-242.0	0	4
-241.0	0	3.66667
-240.0	0	0.25
-239.0	0	2
-238.0	0	9
-237.0	0	3.5
-236.0	0	1.5
-235.0	0	1.66667
-234.0	0	5.16667
-233.0	0	3.83333
-232.0	0	4
-231.0	0	8
-230.0	0	3
-229.0	0	4.5
-228.0	0	2
-227.0	0	4.5
-226.0	0	4.83333
-225.0	0	3
-224.0	0	2.5
-223.0	0	4
-222.0	0	1.33333
-221.0	0	3
-220.0	0	2.83333
-219.0	0	3.58333
-218.0	0	3
-217.0	0	3
-216.0	0	2.33333
-215.0	0	2.16667
-214.0	0	5.5
-213.0	0	2
-212.0	0	2.33333
-211.0	0	1.83333
-210.0	0	2.66667
-209.0	0	4.5
-208.0	0	4.33333
-207.0	0	4
-206.0	0	4
-205.0	0	2.83333
-204.0	0	3.83333
-203.0	0	1.5
-202.0	0	2
-201.0	0	6
-200.0	0	4
-199.0	0	4
-198.0	0	4.16667
-197.0	0	1.25
-196.0	0	1.2
-195.0	0	6
-194.0	0	2.33333
-193.0	0	2.25
-192.0	0	5.25
-191.0	0	1.25
-190.0	0	2
-189.0	0	6.33333
-188.0	0	1.5
-187.0	0	3.5
-186.0	0	1
-185.0	0	5.33333
-184.0	0	3.66667
-183.0	0	3.83333
-182.0	0	4.7
-181.0	0	2.5
-180.0	0	2.33333
-179.0	0	4
-178.0	0	6.5
-177.0	0	3
-176.0	0	2.5
-175.0	0	1.5
-174.0	0	2.5
-173.0	0	2
-172.0	0	4
-171.0	0	2.5
-170.0	0	3.25
-169.0	0	2
-168.0	0	5.75
-167.0	0	7.5
-166.0	0	1.25
-165.0	0	6
-164.0	0	4
-163.0	0	4
-162.0	0	5.03333
-161.0	0	2.2
-160.0	0	0.2
-159.0	0	2
-158.0	0	1.5
-157.0	1	5.25
-156.0	0	2.33333
-155.0	0	2.5
-154.0	0	3.5
-153.0	0	3.5
-152.0	0	5.33333
-151.0	0	3.33333
-150.0	0	3.83333
-149.0	0	3.33333
-148.0	0	6.83333
-147.0	0	4.83333
-146.0	0	0.666667
-145.0	0	2.16667
-144.0	0	4.58333
-143.0	0	0.25
-142.0	0	2.75
-141.0	0	1.58333
-140.0	0	6.58333
-139.0	0	1.58333
-138.0	0	2.5
-137.0	0	4
-136.0	0	3
-135.0	0	3.5
-134.0	0	3.5
-133.0	0	5.5
-132.0	0	3.5
-131.0	0	4.83333
-130.0	0	1
-129.0	0	4
-128.0	0	2
-127.0	0	0
-126.0	0	3
-125.0	0	3
-124.0	0	1.83333
-123.0	0	7.66667
-122.0	0	4.58333
-121.0	0	1.33333
-120.0	0	2
-119.0	0	4.66667
-118.0	0	6
-117.0	0	3
-116.0	0	6
-115.0	0	5.75
-114.0	0	2
-113.0	0	6.5
-112.0	0	5
-111.0	0	8
-110.0	0	2
-109.0	0	6
-108.0	0	6.75
-107.0	0	0.75
-106.0	0	4
-105.0	0	4.33333
-104.0	0	2.33333
-103.0	0	5
-102.0	0	4
-101.0	0	2.5
-100.0	0	2
 -99.0	0	1
 -98.0	0	4
 -97.0	0	4
 -96.0	0	0.5
 -95.0	0	4.5
 -94.0	0	2.75
 -93.0	0	4.5
 -92.0	0	6.25
 -91.0	0	4.25
 -90.0	0	4.75
 -89.0	1	5.5
 -88.0	0	4.5
 -87.0	0	6.08333
 -86.0	0	1.83333
 -85.0	0	1.83333
 -84.0	0	3.25
 -83.0	0	1
 -82.0	0	3.33333
 -81.0	0	7.5
 -80.0	0	6.5
 -79.0	0	2.5
 -78.0	0	3
 -77.0	0.5	4
 -76.0	0.5	2
 -75.0	0	0.7
 -74.0	0	2.5
 -73.0	0	3.5
 -72.0	0	4.91667
 -71.0	0	4.16667
 -70.0	0	2.83333
 -69.0	0	2.16667
 -68.0	0	4
 -67.0	0	4.33333
 -66.0	0	4.5
 -65.0	0	0.333333
 -64.0	0	4.33333
 -63.0	0	1.75
 -62.0	0	1
 -61.0	0	4
 -60.0	0	4
 -59.0	0	0
 -58.0	0	3
 -57.0	0	2
 -56.0	0	3.66667
 -55.0	0	2.5
 -54.0	0	5.08333
 -53.0	0	2.08333
 -52.0	0	2
 -51.0	0	3
 -50.0	0	4.5
 -49.0	0	4.83333
 -48.0	0	5
 -47.0	0	2
 -46.0	0	5.5
 -45.0	0	2.08333
 -44.0	0	3.83333
 -43.0	0	5.5
 -42.0	0	4.08333
 -41.0	0	4.29167
 -40.0	0	4.75
 -39.0	0	2
 -38.0	0	6.5
 -37.0	0	4
 -36.0	0	1.58333
 -35.0	0	4.5
 -34.0	0	4
 -33.0	0	4.5
 -32.0	0	4.33333
 -31.0	0	5.7
 -30.0	0	2.7
 -29.0	0	1.33333
 -28.0	0	7.33333
 -27.0	0	3
 -26.0	0	1.5
 -25.0	0	3
 -24.0	1	3.75
 -23.0	0	3
 -22.0	0	1
 -21.0	0	4.83333
 -20.0	0	6.5
 -19.0	0	3.83333
 -18.0	0	3.2
 -17.0	0	2.95
 -16.0	1	2
 -15.0	1	2
 -14.0	1	4.83333
 -13.0	0	2
 -12.0	0	5.2
 -11.0	0	1.5
 -10.0	0	3.83333
  -9.0	0	5.33333
  -8.0	1	4.33333
  -7.0	1	6
  -6.0	0	4.25
  -5.0	0	2.33333
  -4.0	1	3.83333
  -3.0	0	5.5
  -2.0	1	4
  -1.0	0	2.25
   0.0	1	2
   1.0	0	3.16667
   2.0	0	3.25
   3.0	0	2.5
   4.0	0	2.875
   5.0	0	4
   6.0	1	3
   7.0	0	4
   8.0	0	4.25
   9.0	0	3.5
  10.0	1.5	2.7
  11.0	2	5.5
  12.0	0	3.75
  13.0	0	4.75
  14.0	0.5	0
  15.0	1	4
  16.0	0	2.83333
  17.0	0	2
  18.0	0	4.33333
  19.0	0	0
  20.0	0	2
  21.0	1	3
  22.0	0	3
  23.0	0	3
  24.0	0	3.33333
  25.0	0	6.66667
  26.0	1.5	3
  27.0	0	2.95833
  28.0	0	2.125
  29.0	0	3.5
  30.0	0	2
  31.0	0	3
  32.0	0	9
  33.0	0	4.66667
  34.0	0	2.5
  35.0	1	4.83333
  36.0	0	2.33333
  37.0	0	4.75
  38.0	0	3.66667
  39.0	0	1.5
  40.0	0.5	3
  41.0	0	2
  42.0	0	2.95
  43.0	0.5	2.5
  44.0	0.5	2.33333
  45.0	0	4.5
  46.0	0	4.5
  47.0	1	5.33333
  48.0	0	3.33333
  49.0	0	1.33333
  50.0	0	3.5
  51.0	0	8.58333
  52.0	0	3
  53.0	1	4
  54.0	0	3.5
  55.0	0	3.5
  56.0	1	6
  57.0	0	2.58333
  58.0	0	2.5
  59.0	0	0.333333
  60.0	0	3.83333
  61.0	0.5	5.5
  62.0	0	4
  63.0	0	4.2
  64.0	0	4.125
  65.0	0	5.5
  66.0	0	4.5
  67.0	0.5	5.2
  68.0	0	2
  69.0	0	2.66667
  70.0	0	1.33333
  71.0	0	4
  72.0	0	3.33333
  73.0	0	2.83333
  74.0	0	3
  75.0	0	2.2
  76.0	0	5.5
  77.0	0	4
  78.0	0	4
  79.0	0	2.5
  80.0	0	1.5
  81.0	0	2.33333
  82.0	0	3.75
  83.0	0	3.5
  84.0	0	4
  85.0	0	1
  86.0	0	5.5
  87.0	0	4
  88.0	0	1
  89.0	0	4
  90.0	0	3.25
  91.0	0	3.5
  92.0	0	1.25
  93.0	0	9
  94.0	0	6.5
  95.0	0	2.03333
  96.0	0	2.66667
  97.0	0	3.08333
  98.0	0	1.5
  99.0	0	1.5
 100.0	0	6.5
 101.0	0	3
 102.0	0	4
 103.0	0	2.33333
 104.0	0	3.53333
 105.0	0	5.53333
 106.0	0	4.5
 107.0	0	3.33333
 108.0	0	0.916667
 109.0	0	2.5
 110.0	0	3.5
 111.0	0	4
 112.0	0	3.83333
 113.0	0	1.33333
 114.0	0	1.33333
 115.0	0	4.33333
 116.0	0	4.125
 117.0	0	1.625
 118.0	0	1.5
 119.0	0	4
 120.0	0	2.75
 121.0	0	3.66667
 122.0	0	3.25
 123.0	0	0
 124.0	0	2
 125.0	0	1.83333
 126.0	0	5.33333
 127.0	0	3.33333
 128.0	0	3.33333
 129.0	0	5
 130.0	0	3.08333
 131.0	0	1.5
 132.0	0	0.75
 133.0	0	2.7
 134.0	0	3.7
 135.0	0	1.45
 136.0	0	1.7
 137.0	0	3.2
 138.0	0	3.33333
 139.0	0	8.5
 140.0	0	2.66667
 141.0	0	4.75
 142.0	0	3.83333
 143.0	0	5.375
 144.0	0	0
 145.0	0	5
 146.0	0	4.5
 147.0	0	3.5
 148.0	0	4
 149.0	0	4.83333
 150.0	0	3.25
 151.0	0	4.75
 152.0	0	2
 153.0	0	7.33333
 154.0	0	3
 155.0	0	4.75
 156.0	0	6.5
 157.0	0	1.75
 158.0	0	3.5
 159.0	0	7.75
 160.0	0	0.333333
 161.0	0.5	4
 162.0	0	2.7
 163.0	0	6.75
 164.0	0	2.33333
 165.0	0	3
 166.0	0	2.83333
 167.0	0	3.41667
 168.0	0	3
 169.0	0	4.5
 170.0	0	1.58333
 171.0	0	4
 172.0	0	2.5
 173.0	0	4.83333
 174.0	0	2
 175.0	0	5.33333
 176.0	0	5.08333
 177.0	0	2.25
 178.0	0	6
 179.0	0	4
 180.0	0	3.25
 181.0	0	4.2
 182.0	0	4.2
 183.0	0	2.7
 184.0	0	1.2
 185.0	0	1.53333
 186.0	0	2.33333
 187.0	0	2.5
 188.0	0	4.33333
 189.0	0	2
 190.0	0	4.5
 191.0	0	4.5
 192.0	0	4
 193.0	0	1
 194.0	0	0.5
 195.0	0	2
 196.0	0	3.25
 197.0	0	6.08333
 198.0	0	2.25
 199.0	0	5.2
 200.0	0	3.53333
 201.0	0	2
 202.0	0	2.25
 203.0	0	2.25
 204.0	0	3.25
 205.0	0	2.45
