# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   3	MX000202                  CovR	1.0e0000	   2.0e-003	          -6.20	         0.0	       62	        496	           9	         14	  0.12500	8.2e-006	       247
   3	MX000205                  CmeR	9.6e-001	   1.9e-003	          -6.25	         0.0	       69	        489	           6	          6	  0.14110	7.9e-006	       244
   3	MX000209                  NtcA	1.6e-002	   3.2e-005	         -10.35	         0.0	       49	        487	          12	         21	  0.10062	1.3e-007	       243
   3	MX000211                  SdpR	5.1e-002	   1.0e-004	          -9.18	         0.0	      156	        494	          24	         32	  0.31579	4.2e-007	       246
   4	Crp_Gammaproteobacteria Crp_Gammaproteobacteria	3.4e-002	   6.9e-005	          -9.58	         0.0	      141	        479	          21	         27	  0.29436	2.9e-007	       239
   4	FadR_Gammaproteobacteria FadR_Gammaproteobacteria	4.0e-002	   8.0e-005	          -9.43	         0.0	       28	        484	          12	         35	  0.05785	3.3e-007	       241
   5	crp                        crp	1.6e0000	   3.3e-003	          -5.71	         0.0	      173	        479	          15	         17	  0.36117	1.4e-005	       239
   5	fis                        fis	3.0e0000	   6.0e-003	          -5.12	         0.0	       14	        466	           5	         13	  0.03004	2.6e-005	       232
   5	glpR                      glpR	7.4e-001	   1.5e-003	          -6.51	         0.0	      147	        481	          12	         13	  0.30561	6.2e-006	       240
   5	hns                        hns	4.8e-001	   9.6e-004	          -6.95	         0.0	       18	        490	           8	         27	  0.03673	3.9e-006	       244
   5	ihf                        ihf	2.5e-001	   5.1e-004	          -7.58	         0.0	       69	        453	           8	          9	  0.15232	2.3e-006	       226
   5	lrp                        lrp	5.2e-002	   1.0e-004	          -9.17	         0.0	      174	        476	          17	         18	  0.36555	4.4e-007	       237
   5	metJ                      metJ	2.6e-001	   5.2e-004	          -7.56	         0.0	       27	        485	           6	          9	  0.05567	2.2e-006	       242
   5	ompR                      ompR	2.0e-002	   4.1e-005	         -10.10	         0.0	       39	        481	           7	          8	  0.08108	1.7e-007	       240
   5	rpoD15                  rpoD15	7.0e-003	   1.4e-005	         -11.17	         0.0	       46	        474	          13	         24	  0.09705	6.0e-008	       236
   5	rpoD16                  rpoD16	1.3e-003	   2.7e-006	         -12.83	         0.0	       45	        473	          13	         22	  0.09514	1.1e-008	       236
   5	rpoD17                  rpoD17	1.6e-002	   3.3e-005	         -10.33	         0.0	       60	        472	          15	         27	  0.12712	1.4e-007	       235
   5	rpoD18                  rpoD18	3.3e-003	   6.7e-006	         -11.92	         0.0	      139	        471	          18	         20	  0.29512	2.8e-008	       235
   5	rpoD19                  rpoD19	3.5e-001	   7.1e-004	          -7.25	         0.0	       48	        470	          11	         22	  0.10213	3.0e-006	       234
   5	rpoS17                  rpoS17	4.0e-001	   8.1e-004	          -7.12	         0.0	      202	        472	          20	         22	  0.42797	3.4e-006	       235
##
# Detailed descriptions of columns in this file:
#
# db:	The name of the database (file name) that contains the motif.
# id:	A name for the motif that is unique in the motif database file.
# alt:	An alternate name of the motif that may be provided 
#	in the motif database file.
# E-value:	The expected number motifs that would have least one 
#	region as enriched for best matches to the motif as the reported region.
#	The E-value is the p-value multiplied by the number of motifs in the
#	input database(s).
# adj_p-value:	The probability that any tested region would be as enriched for
#	best matches to this motif as the reported region is.
#	By default the p-value is calculated by using the one-tailed binomial
#	test on the number of sequences with a match to the motif 
#	that have their best match in the reported region, corrected for
#	the number of regions and score thresholds tested.
#	The test assumes that the probability that the best match in a sequence
#	falls in the region is the region width divided by the
#	number of places a motif
#	can align in the sequence (sequence length minus motif width plus 1).
#	When CentriMo is run in discriminative mode with a negative
#	set of sequences, the p-value of a region is calculated
#	using the Fisher exact test on the 
#	enrichment of best matches in the positive sequences relative
#	to the negative sequences, corrected
#	for the number of regions and score thresholds tested.
#	The test assumes that the probability that the best match (if any)
#	falls into a given region
#	is the same for all positive and negative sequences.
# log_adj_p-value:	Log of adjusted p-value.
# bin_location:	Location of the center of the most enriched region.
# bin_width:	The width (in sequence positions) of the most enriched region.
#	A best match to the motif is counted as being in the region if the
#	center of the motif falls in the region.
# total_width:	The window maximal size which can be reached for this motif:
#		rounded(sequence length - motif length +1)/2
# sites_in_bin:	The number of (positive) sequences whose best match to the motif
#	falls in the reported region.
#	Note: This number may be less than the number of
#	(positive) sequences that have a best match in the region.
#	The reason for this is that a sequence may have many matches that score
#	equally best.
#	If n matches have the best score in a sequence, 1/n is added to the
#	appropriate bin for each match.
# total_sites:	The number of sequences containing a match to the motif
#	above the score threshold.
# p_success:	The probability of falling in the enriched window:
#		bin width / total width
# p-value:	The uncorrected p-value before it gets adjusted to the
#	number of multiple tests to give the adjusted p-value.
# mult_tests:	This is the number of multiple tests (n) done for this motif.
#	It was used to correct the original p-value of a region for
#	multiple tests using the formula:
#		p' = 1 - (1-p)^n where p is the uncorrected p-value.
#	The number of multiple tests is the number of regions
#	considered times the number of score thresholds considered.
#	It depends on the motif length, sequence length, and the type of
#	optimizations being done (central enrichment, local enrichment,
#	score optimization).
